행정동코드,시도명,시군구명,읍면동명
1101053,서울특별시,종로구,사직동
1101054,서울특별시,종로구,삼청동
1101055,서울특별시,종로구,부암동
1101056,서울특별시,종로구,평창동
1101057,서울특별시,종로구,무악동
1101058,서울특별시,종로구,교남동
1101060,서울특별시,종로구,가회동
1101061,서울특별시,종로구,종로1.2.3.4가동
1101063,서울특별시,종로구,종로5.6가동
1101064,서울특별시,종로구,이화동
1101067,서울특별시,종로구,창신1동
1101068,서울특별시,종로구,창신2동
1101069,서울특별시,종로구,창신3동
1101070,서울특별시,종로구,숭인1동
1101071,서울특별시,종로구,숭인2동
1101072,서울특별시,종로구,청운효자동
1101073,서울특별시,종로구,혜화동
1102052,서울특별시,중구,소공동
1102054,서울특별시,중구,회현동
1102055,서울특별시,중구,명동
1102057,서울특별시,중구,필동
1102058,서울특별시,중구,장충동
1102059,서울특별시,중구,광희동
1102060,서울특별시,중구,을지로동
1102065,서울특별시,중구,신당5동
1102067,서울특별시,중구,황학동
1102068,서울특별시,중구,중림동
1102069,서울특별시,중구,신당동
1102070,서울특별시,중구,다산동
1102071,서울특별시,중구,약수동
1102072,서울특별시,중구,청구동
1102073,서울특별시,중구,동화동
1103051,서울특별시,용산구,후암동
1103052,서울특별시,용산구,용산2가동
1103053,서울특별시,용산구,남영동
1103057,서울특별시,용산구,원효로2동
1103058,서울특별시,용산구,효창동
1103059,서울특별시,용산구,용문동
1103063,서울특별시,용산구,이촌1동
1103064,서울특별시,용산구,이촌2동
1103065,서울특별시,용산구,이태원1동
1103066,서울특별시,용산구,이태원2동
1103069,서울특별시,용산구,서빙고동
1103070,서울특별시,용산구,보광동
1103071,서울특별시,용산구,청파동
1103072,서울특별시,용산구,원효로1동
1103073,서울특별시,용산구,한강로동
1103074,서울특별시,용산구,한남동
1104052,서울특별시,성동구,왕십리2동
1104054,서울특별시,성동구,마장동
1104055,서울특별시,성동구,사근동
1104056,서울특별시,성동구,행당1동
1104057,서울특별시,성동구,행당2동
1104058,서울특별시,성동구,응봉동
1104059,서울특별시,성동구,금호1가동
1104062,서울특별시,성동구,금호4가동
1104065,서울특별시,성동구,성수1가1동
1104066,서울특별시,성동구,성수1가2동
1104067,서울특별시,성동구,성수2가1동
1104068,서울특별시,성동구,성수2가3동
1104069,서울특별시,성동구,송정동
1104070,서울특별시,성동구,용답동
1104071,서울특별시,성동구,왕십리도선동
1104072,서울특별시,성동구,금호2.3가동
1104073,서울특별시,성동구,옥수동
1105053,서울특별시,광진구,화양동
1105054,서울특별시,광진구,군자동
1105055,서울특별시,광진구,중곡1동
1105056,서울특별시,광진구,중곡2동
1105057,서울특별시,광진구,중곡3동
1105058,서울특별시,광진구,중곡4동
1105059,서울특별시,광진구,능동
1105060,서울특별시,광진구,구의1동
1105061,서울특별시,광진구,구의2동
1105062,서울특별시,광진구,구의3동
1105063,서울특별시,광진구,광장동
1105064,서울특별시,광진구,자양1동
1105065,서울특별시,광진구,자양2동
1105066,서울특별시,광진구,자양3동
1105067,서울특별시,광진구,자양4동
